iter	Passed	Remaining
1001	56368	56143
1002	56407	56069
1003	56455	56005
1004	56519	55957
1005	56576	55902
1006	56629	55842
1007	56687	55787
1008	56752	55740
1009	56806	55681
1010	56878	55640
1011	56937	55586
1012	56988	55525
1013	57052	55477
1014	57111	55423
1015	57157	55357
1016	57211	55299
1017	57270	55245
1018	57310	55173
1019	57383	55132
1020	57441	55078
1021	57515	55039
1022	57561	54973
1023	57599	54899
1024	57649	54837
1025	57705	54781
1026	57753	54717
1027	57804	54655
1028	57849	54588
1029	57887	54515
1030	57941	54457
1031	57991	54395
1032	58055	54345
1033	58104	54283
1034	58155	54221
1035	58226	54179
1036	58284	54125
1037	58354	54081
1038	58403	54018
1039	58465	53968
1040	58529	53919
1041	58591	53868
1042	58655	53819
1043	58705	53757
1044	58756	53695
1045	58819	53645
1046	58860	53575
1047	58926	53529
1048	58986	53475
1049	59027	53405
1050	59080	53346
1051	59125	53280
1052	59169	53213
1053	59236	53166
1054	59284	53103
1055	59328	53035
1056	59385	52981
1057	59434	52917
1058	59502	52872
1059	59552	52810
1060	59611	52756
1061	59672	52704
1062	59732	52652
1063	59794	52601
1064	59848	52543
1065	59911	52492
1066	59967	52436
1067	60021	52378
1068	60073	52318
1069	60137	52268
1070	60198	52216
1071	60259	52165
1072	60299	52094
1073	60367	52048
1074	60418	51987
1075	60466	51925
1076	60517	51864
1077	60571	51806
1078	60632	51754
1079	60693	51701
1080	60760	51655
1081	60817	51599
1082	60869	51539
1083	60907	51468
1084	60957	51406
1085	61020	51355
1086	61080	51303
1087	61131	51242
1088	61195	51192
1089	61261	51145
1090	61311	51083
1091	61365	51025
1092	61421	50969
1093	61481	50916
1094	61522	50847
1095	61583	50795
1096	61634	50734
1097	61686	50675
1098	61750	50625
1099	61804	50567
1100	61871	50519
1101	61921	50458
1102	61974	50400
1103	62037	50349
1104	62089	50289
1105	62134	50224
1106	62189	50167
1107	62240	50106
1108	62305	50058
1109	62365	50004
1110	62420	49947
1111	62467	49883
1112	62525	49829
1113	62581	49773
1114	62649	49726
1115	62710	49674
1116	62776	49625
1117	62824	49563
1118	62881	49507
1119	62936	49450
1120	62997	49397
1121	63053	49341
1122	63105	49281
